user,time,rating,content
璃馗,发表于 2024-03-13,5,作为一个非计算机专业的学生，学习爬虫技术是一次非常有趣的经历。一开始，我对爬虫的概念和作用并不了解，只是听说过它可以用来获取互联网上的信息。但是，当我开始学习爬虫的基本原理和实现方法后，我发现它其实是一个非常实用的工具。 在学习爬虫的过程中，我也遇到了一些挑战。例如，有些网站的反爬虫机制非常复杂，需要我不断尝试不同的方法来突破它们。我非常感谢这次学习经历，并且希望将来能够继续探索更多关于计算机科学的知识。
徐新枫,发表于 2024-03-13,5,李老师讲课内容全面，讲课让人觉得通俗易懂
雷@,发表于 2024-03-13,5,太好了，pathon讲课最好的老师
mooc69037470728519842,发表于 2024-01-21,5,最近毕设需要用到爬虫技术来进行多页面数据采集，看了老师的课程之后成功解决了问题，老师讲的案例清晰易懂，也很耐心细致
1背带裤1,发表于 2023-12-31,5,这套课程是以案例的方式进行对专业知识的讲解，讲解的很细致
竹子k124578824489641939,发表于 2023-12-19,5,这门课让我对Python的兴趣大大提升，原来编程并不是那么枯燥！！现在遇到问题动不动就想着能不能写个程序来解决，啊啊啊
言nn,发表于 2023-12-19,5,确实挺不错的
mooc92981281204473329,发表于 2023-12-19,5,1、老师授课时重点突出，合理使用各种教学形式，比如在重点讲解某一部分时，为了能够确保学生听懂，充分利用课堂互动，演算比较清晰，易于让学生理解的特点。 2、课堂资料充实，简单明了，使学生能够轻简单松掌握知识。 3、老师教学的另一个特点师风趣，它能用日常生活中的简单例子来解释说明课程中的一些专有名词和概念，使课堂气氛活跃课程简单易学
Artis0318,发表于 2023-12-19,5,5星，+3
mooc173767715979160385,发表于 2023-12-19,5,老师讲的非常棒
吴永邯,发表于 2023-12-19,5,老师人美心善，讲得也很易懂，爱你老师么么哒
mooc161315225558643284,发表于 2023-12-19,5,讲得非常好
mooc103350183801268455,发表于 2023-12-19,5,李老师讲的特别好
刘烈凯,发表于 2023-12-18,5,上课内容新颖，内容很有感染力
19级卫检02刘致远,发表于 2023-06-08,5,首先，Python语言是种十分优秀且高效的编程语言，其次老师讲课生动详细，通过多种实例演示来达成教学目的，过程简单易懂，对同学们进行实际操作提供了优质的指导意见，最后感谢老师们的辛勤付出，望优质课程越来越好。
学员5209kada133342636225965678,发表于 2023-06-06,5,这门Python数据爬取和可视化的课程真的很不错。我学到了如何使用Python编写爬虫程序，从各种网站上获取数据，还学会了如何使用Python的各种数据可视化库，将数据以图表等形式生动地呈现给别人。老师的讲解真的非常好，她讲得很清楚，让我能够很轻松地理解每一个知识点。而且她的课程设计也很有趣，让我觉得学习编程也不是一件有多难的事情。总的来说，这是一门值得推荐的课程，无论是对于正在学习Python的初学者，还是想深入学习Python的高级用户，都非常有用！
没有名字我好难过,发表于 2023-06-06,5,太棒了，家人们！老师讲得太好了，我哭死。
寄西风丶,发表于 2023-03-22,5,good good老师上课讲的太好了，很有趣。
我愿轻狂伴你至深沉i,发表于 2023-02-28,5,老师讲的很好，很有意思，代入感很强，建议多加几节课
学员b969kada81017895624722164,发表于 2022-05-05,5,......
樂乐～,发表于 2022-03-27,5,老师讲得很好，通俗易懂，幽默风趣，非常有耐心，使我在短短几节课掌握让我受益匪浅的课，感谢老师。
南华大学机卓1901班颜雨洁20190010407,发表于 2022-03-24,5,李老师通俗易懂又幽默的讲授，让我喜欢上了Python，以后自己也会继续更加深入了解学习这个技能，感谢老师的讲授和带领。
伏地魔老先生,发表于 2021-11-04,5,客服的服务态度很好，很耐心地解决了我的问题，宝贝质量也很棒，可以色差，下次还会回购。
F-F_,发表于 2021-11-02,5,这老师讲的是真不错，老师讲解的内容也非常通俗易懂，非常推荐
灰白衬衫,发表于 2021-11-02,5,yyds！
待如初i,发表于 2021-11-02,5,老师讲的特别好，简洁清晰，短小精悍，推荐！！！
BBi8booo,发表于 2021-11-02,5,大河弯弯向东流，就是这么牛.
mooc97204528151800317,发表于 2021-11-02,5,很棒，下次还回来
木色青鱼,发表于 2021-11-02,5,老师很棒，性格温和有耐心，上课方式很有趣，通俗易懂。
mooc97186759266349169,发表于 2021-11-02,5,晓昀老师讲的太好了，以前不会的我都会了，腰也不疼了，腿也不痛了，感觉智商都上了好几个台阶。
计算机不是有手就行??,发表于 2021-10-27,5,喜欢老师的上课方式，有钱不枯燥，课间和我们沟通交流，亦师亦友，很感激能在大学能有这样一位恩师。
mooc1466606073790,发表于 2021-10-16,5,电脑小白的我，本着试一试的心理尝试听课。几个视频下来，居然听懂了！坚持，坚持！
mooc77324684381093121,发表于 2021-09-29,5,强烈推荐此课程，老师讲的内容非常详细，想学python爬虫和可视化的同学一定要来看看
ykt66459755166177946,发表于 2021-09-29,5,初学Python这门课的时候觉得挺难的，后来在老师的帮助和指导下，渐渐发现这门课很有意思，老师很耐心，和蔼可亲，顿时学这门课有了极大的乐趣。
Brooksk1227383935156541472,发表于 2021-09-26,4,老师讲课十分认真投入，内容纲举目分，条理性很强，而且特别善于举例，让同学理论联系实际，学习起来十分轻松，而且印象深刻，收到良好的效果。老师为人和蔼，课堂能与同学们互动，营造温馨的课堂气氛。 老师治学严谨，能深入了解学生的学习，循循善诱，平易近人。
IHDX,发表于 2024-08-04,5,通过学习，学会了词云生成方法。课程讲解的很细致！
mooc10539841806788690,发表于 2024-06-24,5,老师的课清晰易懂
mooc10979583111209802,发表于 2024-06-19,5,老师讲解的特别细致，很容易理解
&k1220553287402456870,发表于 2024-06-19,5,老师讲的通俗易懂，教的非常有耐心，感受到学Python的乐趣
mooc10539929756331961,发表于 2024-06-19,5,老师讲的特别特别好！特别喜欢！！！
熹妃娘娘好大的阵张女士-,发表于 2024-06-19,5,老师讲的特别细致，每个知识点都讲到了，而且讲的特别好，特别容易理解。特喜欢喜欢。
iioc,发表于 2024-06-19,5,老师上课内容生动有趣，通俗易懂☺️
弌影,发表于 2024-06-19,5,老师讲的很好很细致，非常有耐心，理解起来不困难，非常好
lik1211147345620112785,发表于 2024-06-19,5,讲得非常好
mooc16784631911590386,发表于 2024-06-19,5,讲解知识非常细致，内容全面丰富，并且比较容易理解，非常喜欢
mooc10627697540774334,发表于 2024-06-19,5,老师上课非常有趣，讲的问题也很有深度，受益匪浅！
mooc10871348007815863,发表于 2024-06-19,5,这门课程非常好
y----ang,发表于 2024-06-19,5,讲课细致，通俗易懂
ificanfadeaway,发表于 2024-06-19,5,真的好good
在太空睡一觉,发表于 2024-06-18,5,课程很有趣，而且学好了应用范围也非常广泛，是很有意义的一门课。
mooc20497855639749647,发表于 2024-06-18,5,课程非常详细，老师讲解的也非常到位
mooc10737283731971837,发表于 2024-06-18,5,老师讲的很认真，容易听懂！！好评
学员5b0akada161230122711601815,发表于 2024-06-18,5,特别好看爱了爱了
mooc10540094642608276,发表于 2024-06-18,5,好，很好，非常好
mooc20483936675208957,发表于 2024-06-18,5,这门课程非常的有用 感觉以后会经常用到 而且老师讲课也很认真细心 很耐心地教导我们 为我们解答疑惑 课程内容充实且具有挑战性
mooc10718963995546867,发表于 2024-06-18,5,通过这个课程巩固了学过的知识，同时学到了一些的内容，这是很有意义的课程。
爱皱眉的小羊驼,发表于 2024-06-18,5,老师讲的非常好
mooc12295626490523769,发表于 2024-06-18,5,课程质量高，从中能学习到很多。
mooc173338261504328035,发表于 2024-06-17,5,知识点很详细
mooc11125037863199969,发表于 2024-06-17,5,讲的真好！
mooc93067687001314647,发表于 2024-06-17,5,老师上课非常有激情，讲解详细
kada76982147994877469,发表于 2024-06-17,5,南华大学文俊杰：老师讲的很好，收获非常大，老师讲得很有耐心，把复杂的知识讲的很简单，谢谢老师！！
mooc10626031616887188,发表于 2024-06-17,5,内容丰富，知识点很细。
画丫丫呀,发表于 2024-06-17,5,老师说的很好，通俗易懂，让人有听下去的欲望，课本上的知识基本都讲到了，课本上没有的也讲了，总之，特别好！
Rubiak1220397798915729118,发表于 2024-06-17,5,非常好，已经成为大师了
学员688bkada58329299912976758,发表于 2024-06-17,5,非常好的课，老师讲解的很细致，理解的很透彻
mooc10626673603024842,发表于 2024-06-17,5,老师将复杂的知识用简单易懂的方式呈现出来，让我轻松掌握了课程的核心内容。视频课程清晰流畅，学习资料也十分丰富，让我可以随时随地进行学习。此外，课程还设置了丰富的互动环节，让我可以与其他同学交流讨论，提高了我的学习效果。
陈思颖_,发表于 2024-06-17,5,老师讲解的很详细，逻辑清晰有条理，通俗易懂，通过视频学习收获了很多python小知识！
mooc11142001303134651,发表于 2024-06-17,5,老师讲的很好，知识点脉络清晰，有实例，更具体和全面地分析了Python的主要内容。
学员167bkada76804395397436345,发表于 2024-06-17,5,老师讲课讲的很好，内容很细致，知识点讲的很透彻，也很有耐心，很负责。
mooc11253363035073152,发表于 2024-06-17,5,很好的课程，特别有意义，老师讲的很深入，容易理解，喜欢，对学习有很大的帮助，特别特别好
学员1f6bkada117444689626327799,发表于 2024-06-17,5,网站最强python教学，毕生不容错过
mooc12292627537829920,发表于 2024-06-17,5,老师提供了丰富的内容，在整个教学过程中给予了学生比较充分的自主探究机会，让学生在活动中学习、提升。课程思路清晰，环节紧凑，重难点突出，设计合理。
佛了阿,发表于 2024-06-17,5,Python课程有简洁的语法和强大的功能。课程通常涵盖基础到高级知识，适合初学者和有经验的开发者。互动式学习环境和实践项目有助于加深理解，提高编程技能。具有较高的教学价值和实用性。
