学生ID,年级,专业,订单ID,订单日期,商品类别,商品名称,商品单价,购买数量,订单金额,支付方式,是否使用优惠券,优惠金额,实付金额,收货地址,订单状态,评分,是否评价,下单时间
STU000250,大一,电子商务,ORD00000051,2025-02-15 19:57:43.076222,学习用品,学习用品15,21.29,5,106.45,微信支付,True,9.88,96.57000000000001,校区2学生宿舍,处理中,,False,2025-02-15 16:03:12.076222
STU000510,大二,电子商务,ORD00000052,2025-04-28 19:57:43.076222,学习用品,学习用品98,34.02,1,34.02,银行卡,False,0.0,34.02,校区3学生宿舍,已完成,,False,2025-04-28 18:39:51.076222
STU000510,大二,电子商务,ORD00000053,2024-06-11 19:57:43.076222,学习用品,学习用品93,46.62,1,46.62,银行卡,True,1.47,45.15,校区1学生宿舍,已完成,,False,2024-06-11 10:57:15.076222
STU000510,大二,电子商务,ORD00000054,2025-03-19 19:57:43.076222,生活用品,生活用品53,95.43,3,286.29,微信支付,False,0.0,286.29,校区2学生宿舍,已完成,3.0,True,2025-03-19 11:15:47.076222
STU000510,大二,电子商务,ORD00000055,2024-11-28 19:57:43.076222,电子产品,电子产品59,2407.85,1,2407.85,微信支付,False,0.0,2407.85,校区2学生宿舍,已完成,,False,2024-11-28 14:59:39.076222
STU000383,大二,工商管理,ORD00000056,2024-08-27 19:57:43.076222,图书,图书59,146.82,3,440.46,银行卡,True,29.59,410.87,校区2学生宿舍,已完成,3.0,True,2024-08-27 11:54:29.076222
STU000383,大二,工商管理,ORD00000057,2024-08-15 19:57:43.076222,运动器材,运动器材30,148.93,3,446.79,支付宝,False,0.0,446.79,校区2学生宿舍,已取消,,False,2024-08-15 13:36:35.076222
STU000383,大二,工商管理,ORD00000058,2024-12-16 19:57:43.076222,运动器材,运动器材32,270.15,5,1350.75,微信支付,True,159.82,1190.93,校区1学生宿舍,已完成,,False,2024-12-16 21:47:55.076222
STU000383,大二,工商管理,ORD00000059,2024-11-03 19:57:43.076222,食品,食品99,30.02,5,150.1,支付宝,True,27.43,122.66999999999999,校区1学生宿舍,已完成,,False,2024-11-03 09:30:46.076222
STU000544,大四,工商管理,ORD00000060,2025-05-11 19:57:43.076222,运动器材,运动器材31,253.6,1,253.6,支付宝,True,4.21,249.39,校区2学生宿舍,已完成,,False,2025-05-11 12:22:18.076222
STU000544,大四,工商管理,ORD00000061,2024-05-28 19:57:43.076222,食品,食品18,24.56,3,73.68,银行卡,False,0.0,73.68,校区1学生宿舍,已取消,,False,2024-05-28 22:29:49.076222
STU000544,大四,工商管理,ORD00000062,2024-08-22 19:57:43.076222,运动器材,运动器材97,332.06,3,996.18,校园卡,True,171.42,824.76,校区3学生宿舍,已完成,,False,2024-08-22 09:18:27.076222
STU000544,大四,工商管理,ORD00000063,2025-05-12 19:57:43.076222,生活用品,生活用品15,123.54,5,617.7,银行卡,True,97.31,520.3900000000001,校区1学生宿舍,已完成,,False,2025-05-12 19:56:03.076222
STU000477,大一,市场营销,ORD00000064,2024-11-23 19:57:43.076222,电子产品,电子产品75,3553.88,5,17769.4,微信支付,True,491.88,17277.52,校区1学生宿舍,已完成,5.0,True,2024-11-23 23:47:48.076222
STU000477,大一,市场营销,ORD00000065,2024-09-12 19:57:43.076222,服装,服装65,272.44,3,817.32,支付宝,False,0.0,817.32,校区3学生宿舍,已完成,1.0,True,2024-09-12 19:28:31.076222
STU000477,大一,市场营销,ORD00000066,2025-01-15 19:57:43.076222,图书,图书59,108.18,5,540.9,支付宝,False,0.0,540.9,校区1学生宿舍,已完成,,False,2025-01-15 14:57:56.076222
STU000401,大二,市场营销,ORD00000067,2024-06-28 19:57:43.076222,学习用品,学习用品54,17.42,2,34.84,银行卡,True,3.46,31.380000000000003,校外住址,已完成,3.0,True,2024-06-28 12:30:22.076222
STU000299,大二,计算机科学,ORD00000068,2024-05-31 19:57:43.076222,运动器材,运动器材90,425.73,2,851.46,银行卡,False,0.0,851.46,校区3学生宿舍,已完成,,False,2024-05-31 23:37:42.076222
STU000312,大二,信息管理,ORD00000069,2024-10-23 19:57:43.076222,电子产品,电子产品80,1211.23,3,3633.69,微信支付,False,0.0,3633.69,校区3学生宿舍,已完成,2.0,True,2024-10-23 17:29:10.076222
STU000312,大二,信息管理,ORD00000070,2025-05-19 19:57:43.076222,生活用品,生活用品6,52.81,3,158.43,校园卡,True,26.6,131.83,校区2学生宿舍,处理中,,False,2025-05-19 13:15:07.076222
STU000312,大二,信息管理,ORD00000071,2025-03-10 19:57:43.076222,电子产品,电子产品48,1376.0,4,5504.0,银行卡,True,225.84,5278.16,校区1学生宿舍,处理中,,False,2025-03-10 18:22:09.076222
STU000312,大二,信息管理,ORD00000072,2025-02-20 19:57:43.076222,电子产品,电子产品70,1577.64,5,7888.2,校园卡,True,638.25,7249.95,校区3学生宿舍,已完成,4.0,True,2025-02-20 12:00:47.076222
STU000486,大三,信息管理,ORD00000073,2025-03-09 19:57:43.076222,图书,图书15,123.94,2,247.88,校园卡,False,0.0,247.88,校区1学生宿舍,已完成,4.0,True,2025-03-09 12:43:35.076222
STU000486,大三,信息管理,ORD00000074,2024-06-01 19:57:43.076222,食品,食品29,85.68,5,428.4,校园卡,False,0.0,428.4,校区1学生宿舍,已完成,3.0,True,2024-06-01 14:37:33.076222
STU000486,大三,信息管理,ORD00000075,2024-08-28 19:57:43.076222,学习用品,学习用品41,29.23,1,29.23,支付宝,False,0.0,29.23,校区1学生宿舍,处理中,,False,2024-08-28 20:12:31.076222
STU000408,大二,物流管理,ORD00000076,2024-12-24 19:57:43.076222,服装,服装12,130.66,4,522.64,微信支付,False,0.0,522.64,校区3学生宿舍,已完成,,False,2024-12-24 22:55:35.076222
STU000408,大二,物流管理,ORD00000077,2025-01-02 19:57:43.076222,图书,图书77,124.48,4,497.92,支付宝,False,0.0,497.92,校外住址,已完成,,False,2025-01-02 12:53:37.076222
STU000408,大二,物流管理,ORD00000078,2024-08-01 19:57:43.076222,电子产品,电子产品35,2425.6,3,7276.8,银行卡,False,0.0,7276.8,校区1学生宿舍,已完成,,False,2024-08-01 08:26:40.076222
STU000570,大四,物流管理,ORD00000079,2025-03-06 19:57:43.076222,运动器材,运动器材39,139.67,2,279.34,银行卡,False,0.0,279.34,校区1学生宿舍,已完成,,False,2025-03-06 17:53:37.076222
STU000570,大四,物流管理,ORD00000080,2025-03-02 19:57:43.076222,图书,图书63,49.19,4,196.76,微信支付,True,6.06,190.7,校区1学生宿舍,已完成,,False,2025-03-02 17:26:11.076222
STU000123,大三,工商管理,ORD00000081,2024-06-23 19:57:43.076222,生活用品,生活用品74,124.59,3,373.77,支付宝,False,0.0,373.77,校区1学生宿舍,已完成,,False,2024-06-23 19:32:46.076222
STU000167,大一,电子商务,ORD00000082,2024-10-30 19:57:43.076222,食品,食品82,42.16,2,84.32,支付宝,True,4.6,79.72,校区1学生宿舍,已完成,,False,2024-10-30 17:18:33.076222
STU000167,大一,电子商务,ORD00000083,2025-02-07 19:57:43.076222,电子产品,电子产品75,3846.98,2,7693.96,校园卡,True,836.66,6857.3,校区3学生宿舍,已完成,,False,2025-02-07 19:06:34.076222
STU000167,大一,电子商务,ORD00000084,2024-08-01 19:57:43.076222,学习用品,学习用品20,28.32,2,56.64,微信支付,False,0.0,56.64,校区3学生宿舍,已完成,,False,2024-08-01 13:06:13.076222
STU000815,大一,工商管理,ORD00000085,2025-01-10 19:57:43.076222,学习用品,学习用品67,41.85,1,41.85,校园卡,True,4.01,37.84,校区2学生宿舍,已完成,,False,2025-01-10 22:56:38.076222
STU000815,大一,工商管理,ORD00000086,2024-08-16 19:57:43.076222,图书,图书27,23.74,3,71.22,微信支付,True,3.17,68.05,校区2学生宿舍,处理中,,False,2024-08-16 15:19:08.076222
STU000436,大一,计算机科学,ORD00000087,2024-05-29 19:57:43.076222,运动器材,运动器材39,390.8,4,1563.2,支付宝,True,61.39,1501.81,校区1学生宿舍,已完成,4.0,True,2024-05-29 16:02:04.076222
STU000802,大一,数据科学,ORD00000088,2024-09-02 19:57:43.076222,生活用品,生活用品65,53.26,2,106.52,微信支付,False,0.0,106.52,校区3学生宿舍,已完成,2.0,True,2024-09-02 19:22:10.076222
STU000584,大一,计算机科学,ORD00000089,2025-03-12 19:57:43.076222,运动器材,运动器材76,287.98,1,287.98,微信支付,True,55.54,232.44000000000003,校区2学生宿舍,已完成,1.0,True,2025-03-12 23:23:44.076222
STU000584,大一,计算机科学,ORD00000090,2024-12-31 19:57:43.076222,图书,图书98,43.51,1,43.51,校园卡,False,0.0,43.51,校区2学生宿舍,已完成,,False,2024-12-31 15:26:07.076222
STU000584,大一,计算机科学,ORD00000091,2024-07-22 19:57:43.076222,食品,食品15,56.78,1,56.78,银行卡,False,0.0,56.78,校区1学生宿舍,已完成,,False,2024-07-22 10:20:31.076222
STU000584,大一,计算机科学,ORD00000092,2024-10-12 19:57:43.076222,食品,食品9,76.26,5,381.3,银行卡,False,0.0,381.3,校区3学生宿舍,已完成,,False,2024-10-12 21:12:54.076222
STU000584,大一,计算机科学,ORD00000093,2025-05-02 19:57:43.076222,服装,服装85,33.45,2,66.9,支付宝,False,0.0,66.9,校区1学生宿舍,处理中,,False,2025-05-02 20:28:33.076222
STU000147,大四,工商管理,ORD00000094,2025-05-10 19:57:43.076222,生活用品,生活用品55,153.46,1,153.46,银行卡,True,1.99,151.47,校区2学生宿舍,已完成,,False,2025-05-10 20:07:14.076222
STU000784,大三,信息管理,ORD00000095,2025-04-14 19:57:43.076222,食品,食品33,52.82,3,158.46,银行卡,False,0.0,158.46,校区2学生宿舍,已完成,,False,2025-04-14 22:06:07.076222
STU000784,大三,信息管理,ORD00000096,2025-01-29 19:57:43.076222,电子产品,电子产品80,245.65,2,491.3,支付宝,True,81.59,409.71000000000004,校外住址,已完成,2.0,True,2025-01-29 18:09:19.076222
STU000784,大三,信息管理,ORD00000097,2024-06-28 19:57:43.076222,图书,图书70,119.78,5,598.9,校园卡,False,0.0,598.9,校外住址,已完成,,False,2024-06-28 23:32:16.076222
STU000560,大一,信息管理,ORD00000098,2024-06-05 19:57:43.076222,食品,食品72,44.53,1,44.53,校园卡,False,0.0,44.53,校外住址,已完成,,False,2024-06-05 09:02:11.076222
STU000560,大一,信息管理,ORD00000099,2025-05-16 19:57:43.076222,电子产品,电子产品73,2210.34,4,8841.36,银行卡,False,0.0,8841.36,校外住址,处理中,,False,2025-05-16 23:48:07.076222
STU000560,大一,信息管理,ORD00000100,2025-04-22 19:57:43.076222,生活用品,生活用品64,123.0,5,615.0,银行卡,False,0.0,615.0,校区2学生宿舍,已取消,,False,2025-04-22 09:25:16.076222
STU000560,大一,信息管理,ORD00000101,2025-03-31 19:57:43.076222,图书,图书45,119.64,3,358.92,支付宝,False,0.0,358.92,校区1学生宿舍,已完成,1.0,True,2025-03-31 12:53:23.076222
STU000560,大一,信息管理,ORD00000102,2025-04-05 19:57:43.076222,服装,服装32,56.28,4,225.12,微信支付,False,0.0,225.12,校区3学生宿舍,已完成,,False,2025-04-05 09:42:15.076222
STU000607,大一,物流管理,ORD00000103,2024-06-22 19:57:43.076222,运动器材,运动器材90,101.51,3,304.53,银行卡,True,1.2,303.33,校外住址,已完成,4.0,True,2024-06-22 21:17:01.076222
STU000607,大一,物流管理,ORD00000104,2025-03-17 19:57:43.076222,学习用品,学习用品65,22.0,3,66.0,校园卡,False,0.0,66.0,校区1学生宿舍,已完成,4.0,True,2025-03-17 14:21:31.076222
STU000607,大一,物流管理,ORD00000105,2024-08-13 19:57:43.076222,生活用品,生活用品7,85.4,3,256.2,校园卡,False,0.0,256.2,校区1学生宿舍,已完成,,False,2024-08-13 14:18:16.076222
STU000412,大二,数据科学,ORD00000106,2024-07-06 19:57:43.076222,图书,图书10,32.32,5,161.6,校园卡,False,0.0,161.6,校外住址,已完成,5.0,True,2024-07-06 21:13:22.076222
STU000412,大二,数据科学,ORD00000107,2025-02-02 19:57:43.076222,运动器材,运动器材59,244.81,3,734.43,微信支付,False,0.0,734.43,校外住址,已完成,,False,2025-02-02 16:39:32.076222
STU000412,大二,数据科学,ORD00000108,2024-05-29 19:57:43.076222,图书,图书94,132.15,5,660.75,支付宝,False,0.0,660.75,校区3学生宿舍,已完成,,False,2024-05-29 21:59:36.076222
STU000412,大二,数据科学,ORD00000109,2025-02-11 19:57:43.076222,电子产品,电子产品9,2366.18,3,7098.54,微信支付,True,213.63,6884.91,校区3学生宿舍,处理中,,False,2025-02-11 21:26:20.076222
STU000412,大二,数据科学,ORD00000110,2024-12-17 19:57:43.076222,服装,服装20,204.43,3,613.29,微信支付,False,0.0,613.29,校区2学生宿舍,处理中,,False,2024-12-17 20:15:07.076222
STU000252,大三,工商管理,ORD00000111,2025-01-23 19:57:43.076222,生活用品,生活用品23,95.96,4,383.84,支付宝,True,15.51,368.33,校区3学生宿舍,已完成,1.0,True,2025-01-23 16:42:35.076222
STU000802,大一,计算机科学,ORD00000112,2024-07-01 19:57:43.076222,服装,服装18,110.45,5,552.25,微信支付,True,99.47,452.78,校区1学生宿舍,已完成,,False,2024-07-01 20:53:46.076222
STU000802,大一,计算机科学,ORD00000113,2024-07-16 19:57:43.076222,生活用品,生活用品75,187.93,5,939.65,银行卡,False,0.0,939.65,校区1学生宿舍,已完成,2.0,True,2024-07-16 18:21:53.076222
STU000802,大一,计算机科学,ORD00000114,2024-09-17 19:57:43.076222,食品,食品8,22.99,2,45.98,银行卡,True,1.97,44.01,校外住址,已完成,,False,2024-09-17 16:55:37.076222
STU000802,大一,计算机科学,ORD00000115,2025-02-17 19:57:43.076222,服装,服装48,115.45,1,115.45,校园卡,False,0.0,115.45,校区2学生宿舍,已完成,3.0,True,2025-02-17 19:30:45.076222
STU000661,大一,信息管理,ORD00000116,2025-04-24 19:57:43.076222,运动器材,运动器材31,360.81,1,360.81,银行卡,True,18.26,342.55,校区3学生宿舍,已完成,,False,2025-04-24 11:34:55.076222
STU000009,大四,市场营销,ORD00000117,2024-10-21 19:57:43.076222,学习用品,学习用品36,18.38,2,36.76,支付宝,True,6.73,30.029999999999998,校区3学生宿舍,处理中,,False,2024-10-21 21:50:02.076222
STU000009,大四,市场营销,ORD00000118,2025-01-26 19:57:43.076222,食品,食品90,93.38,4,373.52,校园卡,False,0.0,373.52,校外住址,处理中,,False,2025-01-26 11:52:10.076222
STU000009,大四,市场营销,ORD00000119,2025-02-03 19:57:43.076222,学习用品,学习用品18,23.94,3,71.82,支付宝,False,0.0,71.82,校区2学生宿舍,已完成,1.0,True,2025-02-03 22:50:41.076222
STU000009,大四,市场营销,ORD00000120,2024-12-11 19:57:43.076222,电子产品,电子产品95,1637.24,3,4911.72,微信支付,True,108.87,4802.85,校外住址,已完成,5.0,True,2024-12-11 18:28:30.076222
STU000178,大三,信息管理,ORD00000121,2024-10-11 19:57:43.076222,电子产品,电子产品60,2131.03,1,2131.03,微信支付,True,167.71,1963.3200000000002,校区1学生宿舍,已完成,1.0,True,2024-10-11 15:58:05.076222
STU000178,大三,信息管理,ORD00000122,2024-10-01 19:57:43.076222,图书,图书22,26.47,2,52.94,支付宝,False,0.0,52.94,校区3学生宿舍,已取消,,False,2024-10-01 12:05:23.076222
STU000178,大三,信息管理,ORD00000123,2024-05-27 19:57:43.076222,图书,图书27,76.57,5,382.85,微信支付,False,0.0,382.85,校外住址,处理中,,False,2024-05-27 11:14:45.076222
STU000295,大四,工商管理,ORD00000124,2024-07-25 19:57:43.076222,食品,食品19,64.01,2,128.02,支付宝,False,0.0,128.02,校区2学生宿舍,处理中,,False,2024-07-25 21:11:26.076222
STU000295,大四,工商管理,ORD00000125,2024-10-15 19:57:43.076222,服装,服装18,196.77,2,393.54,校园卡,True,29.09,364.45000000000005,校外住址,处理中,,False,2024-10-15 10:00:30.076222
STU000295,大四,工商管理,ORD00000126,2025-05-09 19:57:43.076222,食品,食品8,74.2,2,148.4,支付宝,False,0.0,148.4,校区3学生宿舍,处理中,,False,2025-05-09 10:06:35.076222
STU000954,大二,工商管理,ORD00000127,2024-11-17 19:57:43.076222,生活用品,生活用品48,147.72,5,738.6,微信支付,True,0.79,737.8100000000001,校外住址,已取消,,False,2024-11-17 17:25:42.076222
STU000954,大二,工商管理,ORD00000128,2025-03-02 19:57:43.076222,学习用品,学习用品68,13.07,5,65.35,银行卡,True,6.58,58.769999999999996,校区2学生宿舍,已完成,,False,2025-03-02 10:20:45.076222
STU000954,大二,工商管理,ORD00000129,2024-07-31 19:57:43.076222,服装,服装34,114.58,1,114.58,校园卡,True,11.44,103.14,校外住址,已完成,,False,2024-07-31 17:57:56.076222
STU000321,大四,电子商务,ORD00000130,2024-10-28 19:57:43.076222,图书,图书7,119.28,4,477.12,微信支付,True,53.02,424.1,校外住址,处理中,,False,2024-10-28 09:12:09.076222
STU000321,大四,电子商务,ORD00000131,2024-08-21 19:57:43.076222,学习用品,学习用品72,16.71,4,66.84,银行卡,False,0.0,66.84,校区1学生宿舍,已完成,4.0,True,2024-08-21 22:22:45.076222
STU000321,大四,电子商务,ORD00000132,2025-01-09 19:57:43.076222,食品,食品35,86.13,1,86.13,微信支付,True,2.13,84.0,校区2学生宿舍,已完成,3.0,True,2025-01-09 13:47:32.076222
