content,time,user,score
真的好棒，华为忠粉，之前21年买的mate40pro，22年买的华为电脑，今年买的华为平板，这次给男朋友买一个p70手感质感使用方面都超好，过年我也换个新的。外形外观：白色好耐看，手感超好，很漂亮大气微距拍摄：超清晰，是爱拍照人士的福音抓拍真的很好，太爱了,N/A,j***2,0
买了华为 pura70，白色，256g 内存手机外观挺精致的，手感不错，外观无瑕疵。像素也挺好的，拍照很好看。,N/A,A***_,0
#华为Pura70 # 想了很久的新手机，外观漂亮，手感超级棒，尤其对于我这种拍照狂来说，简直太赞了。试了一下微距和夜景，画面超清晰，抓拍的马路夜景也很有氛围感，超级棒！,N/A,f***6,0
#华为pura 70# 华为pura70羽砂黑，外观上独特的设计风格，羽砂工艺带来细腻触感，6.6英寸高清直屏，色彩逼真，视觉体验出色，影像方面，强大的后置摄像头组合，轻松捕捉精彩瞬间#华为pura 70#,N/A,j***i,0
真是特别赞！！！哈哈😃买到手里爱不释手啊！很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心价格实惠，质量杠杠的，非常好的一次购物，下次还来真的超级喜欢，质量非常好，与卖家描述的一致！价格很实惠，性价比很高，算是平价好物，会回购的,N/A,j***f,0
一直在用华为手机。这款华为Pura70也没让我失望。已经观望了好久，这次这样买到了，体验感非常满意，拍照技术非常好，一部手机走天下，呵呵。永远支持国货品牌华为✌✌✌,N/A,j***e,0
你好 Pura！外机大小很适合女生，单手操控无负担，而且手感质感很棒！直屏观感很好，具备风驰闪拍功能，出片率高，抓拍再也不模糊了！微距体验感拉满，叶子的脉络一清二楚，话不多说，看图说话。,N/A,t***e,0
宝贝收到咯👌🏻，真的很棒呀！🌈质量真是没话说，非常满意！🆗开心开心😃物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理,N/A,Z***A,0
手机的外观和手感都很棒，屏幕确实够大，看视频和玩游戏体验很流畅，系统反应一点都不卡顿！价格也很亲民！总体体验很满意！支持国产，代表了国产机最高水准，值得信赖。等了几个月等到了活动价，很划算，性价比爆表。,N/A,q***8,0
Pura 外形外观：外观非常精美，上手质感非常好 屏幕音效：屏幕非常细腻不刺眼，音质效果杠杠的拍照效果：像素质量特别好，质量嘎嘎的，不愧是华为，尤其是微距镜头方面、细节很突出，非常出色、抓拍效果很不错能和相机比一下。运行速度：十分流畅，反应迅速,N/A,A***6,0
精挑细选很久✨，最后决定买这一款🎁，到货后果然没有让我失望，实物很漂亮🔮，做工很精细🌈，特别满意💖外形外观：精致美观拍照效果：效果杠杠的运行速度：很流畅,N/A,x***9,0
#华为pura70[话题]# # 外观漂亮拍照清晰 抓拍超棒 微距镜头完美1、外观包装大气，上档次，摸起来很丝滑顺手。2、拍照是重点，画面真的超级清晰，微距镜头完美，抓拍体验很好，果然是一款颜值和实力均具备的强大手机!这手机真是太赞了，不仅外观时尚大气，而且功能齐全。用起来超级流畅，不错不错。,N/A,j***1,0
#华为pura70[话题]##外观漂亮拍照清晰 抓拍超棒 微距镜头完美1、外观包装大气，上档次，摸起来很丝滑顺手。 2、拍照是重点，画面真的超级清晰，微距镜头完美，抓拍体验很好，果然是一款颜值和实力均具备的强大手机！这手机真是太赞了，不仅外观时尚大气，而且功能齐全。用起来超级流畅，不错不错。,N/A,l***y,0
换手机啦～老公就喜欢用国产手机，那首选华为，之前用的荣耀，也挺好……不过好几年了那款手机也差不多寿命了……这边就以旧换新换华为啦,N/A,A***煛,0
华为品质，值得推荐与使用。继续加油，华为！！,N/A,l***购,0
世界之美，华为pura70，世界之美压缩在指尖与眼前，让影像技术更进一步，极致的材质工艺，夺目的色彩搭配，机身背面三角风向标的设计，突破传统手机使用的常规镜头排列，初看让人眼前一亮。很喜欢,N/A,j***e,0
用了一个月才来评论的感觉很好，拍照真的是很牛没得说性能也不错，而且还有北斗卫星消息版，妈妈再也不用怕我走丢了呢。,N/A,是***柠,0
外形外观：手感超级舒服，摄像头很有设计感，用着很不错👍拍照效果：图片清晰，微距拍摄体验特别棒，特别喜欢这个手机屏幕音效：画质清晰，画面流畅优美流畅生动充电速度特别快，电量也经用,N/A,j***7,0
外形外观：外观设计好看，新颖独特。屏幕音效：屏幕清晰，声音好听。拍照效果：相片清晰，像素好，速度快。运行速度：运行流畅，不卡顿。待机时间：待机时间长了。电池耐用。其他特色：包装严密，快递快，人员好，性价比高，值得拥有。,N/A,3***k,0
外形外观：外形外观：华为最新款的 #华为pura70#这款手机外观大气顺滑舒适，女孩子单手操作都是可以易如反掌，特别喜欢#华为pura70#手机摄像头设计和排位，一眼就能看出是高端大气手机。拍照效果：拍照效果：用了 #华为pura70#手机到拍照功能感觉其他品牌手机都不是那么回事了，对于我是一名拍摄爱好者来说，以后什么单反都不用带了，只带这台遥遥领先的#华为pura70#就可以了，不管我是运动拍摄还是静止状态下拍照拍出来的效果都是非常完美。微距镜头：也是非常牛，镜头唉到越近拍出来确实越清晰不用再对焦，这是秒对焦啊，以前用手机拍照总是对焦对半天都是模糊的，这个不会，想拍哪就拍哪。,N/A,5***4,0
这个手机真的是一眼爱，最爱的就是直屏，暴打曲屏一万倍。 外形外观：最喜欢就是直屏，色彩饱和度也很好，音效很满意拍照效果收到货之后就使用了，买了个壳子也很好看，主要是超级微距真的很不错，手上的毛毛也能看见哈哈,N/A,e***y,0
赞赞赞，一直用的华为，30/40/50然后是现在的70，没有辜负这份期待！手机本身长的非常靓丽耶，很轻薄，黑色也是我喜欢的亚光黑，很稳重的既视感。真的好棒唉，喜欢。拿到手立马随手拍了几张花瓶，很清晰，微距拍摄非常OK，不会糊。原图直出也没问题啦。阳光底下视觉感觉更棒了，不错，赞赞。,N/A,锦***殇,0
huawei pura70 玫红色非常适合妈妈，内存512充足。摄像视频清晰，充电耐用，重量刚好，手握体感很舒服。还双卡双待，非常推荐！,N/A,0***j,0
今天拿到的第一个晚上真的非常不错的手机  为之前用的苹果都没有这个华为这个好。。真的真的超级喜欢。。下次还会买的  真的太喜欢了。 为老公也喜欢过几天给他也买一个  非常推荐大家购买 像素真的是没法说了,N/A,j***7,0
之前用苹果 信号不好果断换华为了 这款手机去线下店看过 外观好看 颜值高 性价比高，当时店员给试的拍转动转盘抓拍的也很清晰🌱信号好 还有微距拍摄模式👍导数据过来比想象的方便 期待使用🍄🍄🍄#华为Pura70#,N/A,丛***鼠,0
期待已久 终于等到了刚拿回来  很期待华为的功能 。在奢侈下买了华为p70，用着挺顺手的，目前没什么问题.京东物流也不错隔天就可以送到，赞赞赞。手机拍照很清晰，用起来很流畅，商家送的东西很多。客服很细心，服务很到位，物流很快。这几天使用后好再来追加好评！外形外观：赞拍照效果：赞运行速度：赞,N/A,雷***拉,0
手机很快就收到了，试用了两天很丝滑，不打游泳，正常使用目前没有大家说的发烫现象，掉电也属于正常范围内，充电速度可以，拍照比我之前的mate30好了不止一个度。期待后续的使用情况。,N/A,j***6,0
在用了一段时间水果之后，还是觉得华为的更给力，可能是个人喜欢水果外观的手感，但是内容方面来说，华为是性价比很高的，手机产品还是实用为主。信号，配置价格都很美丽。,N/A,漂***滩,0
#华为Pura70#外观漂亮拍照非常清晰镜头很好，拍照画面很清晰微距镜头完美1TB超大内存，超强的拍摄力，质量不错不愧是华为很棒的,N/A,j***i,0
&quot;你好 Pura&quot;【外观】冰晶蓝真的是太漂亮了，颜色超级好看，给媳妇买的，媳妇超级喜欢，特别有种高级感，不愧是华为产品，比iphone好看多了【性能】手机运行非常快，在高端机里面表现非常出色，一点也不卡顿【色彩】拍出来的照片非常清晰，色彩饱和度非常好，喜欢摄影的朋友一定不要错过，近焦拍摄也非常清晰【手感】触摸的手感非常好，非常适合单手操作，简直是完美的高端手机,N/A,4***d,0
华为Pura 70整体都很不错，性能挺强的，鸿蒙系统很方便，在国产手机里面可以算高配置了，除了散热还不太行，其他都可以的。,N/A,黑***橘,0
使用了半个多月过来评价的在京东百亿补贴买的性价比还挺高的摄和运行速度都可以，就是有点发烫手感拿着也不错，华为现在做工是越做越好，希望华为一直遥遥领先,N/A,兰***1,0
这手机期待很久了，白色很百搭显品质，拍照效果更naisi，高清成像，抓拍清晰非常有画面感，易出片，运行十分流畅迅速，简直是爱了😍😍,N/A,j***p,0
从开快递包装的那一刻起，华为Pura 70 就以其精致的设计、卓越的性能深深吸引了我。这款手机不仅外观时尚大气，拿在手中更是质感满满，每一次滑动都是享受。屏幕显示效果惊艳，色彩饱满细腻，无论是追剧还是游戏，都能带来沉浸式的视觉盛宴。拍照功能更是强大，无论是白天还是夜晚，都能轻松捕捉生活中的每一个美好瞬间，让照片更加鲜活生动。性能上，华为Pura 70搭载了高效的处理器，无论是多任务处理还是大型游戏，都能游刃有余，流畅不卡顿。电池续航也非常给力，一天的重度使用完全没问题，彻底告别电量焦虑。总的来说，华为Pura 70 是一款集颜值、性能、拍照于一体的全能型手机，绝对值得每一位追求品质生活的你拥有。强烈推荐给大家，五星好评，实至名归！,N/A,j***求,0
外形外观：这款华为真的太好看太好看了，本来还想等新型号发布观望，但是这款太动人心弦了！屏幕音效：昆仑玻璃，屏幕特别的耐摔，非常的实用。拍照效果：拍照效果杠杠的，超级满足拍照需求。运行速度：运行速度真的很快，不说了，华为NB！,N/A,5***2,0
快递非常快，晚上下单第二天就到了,N/A,大***4,0
外形外观：#华为Pura70#外观设计很有现代感，高端大气，手感材质很好，内存强大，用起来特别流畅。拍照效果：#华为Pura70#的摄像头也太强大了，画质超级清晰，色彩细腻还原实景图，抓拍体验：对焦速度快，很出片，满足日常所需的拍摄体验。微距体验：大广角到微距很棒，清晰度高，效果很满意。待机时间：待机时间长，充电极快，出门再也不用担心手机没电了。,N/A,s***子,0
待机时间：待机时间比较长运行速度：手机内存容量大，反应快速拍照效果：拍照清晰，亮度适中，音质好，很清晰屏幕音效：屏幕清晰，超高速拍摄，效果相当好外形外观：质感很好，设计非常好，高端大气上档次,N/A,天***3,0
拍照效果：拍照清晰，拍照距离远，效果不错外形外观：外观高端大气上档次屏幕音效：屏幕清晰，亮度适中，音质很好运行速度：反应速度快，遥遥领先待机时间：待机时间长，充电速度快,N/A,顾***健,0
优点：手机外观时尚，很好看，磨砂手感非常丝滑，女生单手操作也可以哦；系统流畅，不卡顿；拍照好看，相中了拍照性能，夜间灯光下拍摄色彩任然鲜亮，进入相机非常灵敏；缺点：充电发热严重；手机待电一般，能维持一上午电量，出门不方便整体还是很值得的！,N/A,j***i,0
