订单ID,商品ID,购买数量,单价,小计金额,是否退换货,退换货原因
ORD00000014,PRD000120,4,59.83,239.32,True,不喜欢
ORD00000014,PRD000040,2,11.49,22.98,True,质量问题
ORD00000015,PRD000169,5,150.15,750.75,False,尺寸不合适
ORD00000016,PRD000029,2,19.29,38.58,False,尺寸不合适
ORD00000017,PRD000065,4,91.85,367.4,True,尺寸不合适
ORD00000018,PRD000162,4,149.44,597.76,False,尺寸不合适
ORD00000018,PRD000153,4,105.85,423.4,True,质量问题
ORD00000018,PRD000197,5,4589.2,22946.0,False,不喜欢
ORD00000019,PRD000001,1,22.36,22.36,False,尺寸不合适
ORD00000019,PRD000062,3,156.35,469.04999999999995,False,尺寸不合适
ORD00000019,PRD000107,2,66.62,133.24,True,不喜欢
ORD00000020,PRD000136,5,75.12,375.6,False,质量问题
ORD00000020,PRD000065,4,91.85,367.4,False,质量问题
ORD00000020,PRD000073,1,69.33,69.33,False,质量问题
ORD00000021,PRD000057,5,232.45,1162.25,False,质量问题
ORD00000021,PRD000127,2,73.97,147.94,True,质量问题
ORD00000021,PRD000154,5,15.4,77.0,False,不喜欢
ORD00000021,PRD000130,4,323.79,1295.16,False,尺寸不合适
ORD00000021,PRD000101,5,6.0,30.0,True,不喜欢
ORD00000022,PRD000185,5,427.11,2135.55,True,不喜欢
ORD00000023,PRD000129,2,182.45,364.9,True,尺寸不合适
ORD00000023,PRD000105,3,697.61,2092.83,False,质量问题
ORD00000023,PRD000184,5,116.72,583.6,False,质量问题
ORD00000023,PRD000155,4,26.78,107.12,True,质量问题
ORD00000024,PRD000167,2,130.0,260.0,True,尺寸不合适
ORD00000024,PRD000058,2,56.98,113.96,True,尺寸不合适
ORD00000024,PRD000013,1,22.73,22.73,False,不喜欢
ORD00000024,PRD000025,5,45.71,228.55,True,质量问题
ORD00000024,PRD000162,1,149.44,149.44,True,尺寸不合适
ORD00000025,PRD000133,5,3880.46,19402.3,True,尺寸不合适
ORD00000025,PRD000147,4,99.28,397.12,True,质量问题
ORD00000025,PRD000128,2,81.32,162.64,False,不喜欢
ORD00000026,PRD000081,5,23.57,117.85,True,尺寸不合适
ORD00000026,PRD000076,2,65.41,130.82,True,尺寸不合适
ORD00000026,PRD000041,2,31.99,63.98,True,尺寸不合适
ORD00000026,PRD000083,4,99.78,399.12,False,质量问题
ORD00000027,PRD000014,2,137.73,275.46,True,尺寸不合适
ORD00000028,PRD000049,5,98.52,492.59999999999997,False,尺寸不合适
ORD00000028,PRD000011,4,14.89,59.56,False,尺寸不合适
ORD00000028,PRD000070,2,176.38,352.76,False,不喜欢
ORD00000028,PRD000024,1,85.85,85.85,True,尺寸不合适
ORD00000029,PRD000052,1,52.45,52.45,False,尺寸不合适
ORD00000029,PRD000086,5,56.88,284.40000000000003,True,不喜欢
ORD00000029,PRD000088,5,94.31,471.55,False,尺寸不合适
ORD00000029,PRD000039,1,150.35,150.35,True,不喜欢
ORD00000029,PRD000071,5,2676.1,13380.5,True,质量问题
ORD00000030,PRD000041,3,31.99,95.97,True,尺寸不合适
ORD00000030,PRD000006,4,44.65,178.6,True,质量问题
ORD00000030,PRD000132,2,22.12,44.24,True,不喜欢
ORD00000030,PRD000013,4,22.73,90.92,True,尺寸不合适
ORD00000030,PRD000129,4,182.45,729.8,True,质量问题
ORD00000031,PRD000041,4,31.99,127.96,False,尺寸不合适
ORD00000032,PRD000199,3,179.9,539.7,False,尺寸不合适
ORD00000032,PRD000065,1,91.85,91.85,False,质量问题
ORD00000032,PRD000151,1,68.96,68.96,False,尺寸不合适
ORD00000032,PRD000018,1,115.8,115.8,False,质量问题
ORD00000032,PRD000164,4,149.61,598.44,False,质量问题
ORD00000033,PRD000037,1,89.07,89.07,False,尺寸不合适
ORD00000033,PRD000089,4,131.26,525.04,False,质量问题
ORD00000034,PRD000082,4,83.92,335.68,False,尺寸不合适
ORD00000034,PRD000079,2,42.88,85.76,False,质量问题
ORD00000034,PRD000006,4,44.65,178.6,False,不喜欢
ORD00000034,PRD000032,1,99.18,99.18,False,尺寸不合适
ORD00000034,PRD000165,2,133.14,266.28,False,尺寸不合适
ORD00000035,PRD000200,1,20.26,20.26,False,不喜欢
ORD00000035,PRD000009,3,66.5,199.5,False,不喜欢
ORD00000035,PRD000011,5,14.89,74.45,False,尺寸不合适
ORD00000035,PRD000172,3,56.68,170.04,False,尺寸不合适
ORD00000036,PRD000022,5,150.94,754.7,False,不喜欢
ORD00000036,PRD000199,2,179.9,359.8,True,不喜欢
ORD00000036,PRD000088,1,94.31,94.31,False,尺寸不合适
ORD00000036,PRD000160,4,4855.63,19422.52,False,不喜欢
ORD00000037,PRD000096,5,81.71,408.54999999999995,False,尺寸不合适
ORD00000037,PRD000111,4,274.96,1099.84,True,不喜欢
ORD00000038,PRD000086,4,56.88,227.52,False,其他
ORD00000038,PRD000042,2,84.48,168.96,False,质量问题
ORD00000039,PRD000021,3,53.83,161.49,False,尺寸不合适
ORD00000039,PRD000103,4,299.45,1197.8,False,尺寸不合适
ORD00000040,PRD000091,5,26.02,130.1,True,不喜欢
ORD00000040,PRD000096,5,81.71,408.54999999999995,True,不喜欢
ORD00000040,PRD000017,2,1849.98,3699.96,False,尺寸不合适
ORD00000040,PRD000090,2,2271.49,4542.98,False,质量问题
ORD00000041,PRD000101,1,6.0,6.0,False,质量问题
ORD00000041,PRD000089,3,131.26,393.78,True,尺寸不合适
ORD00000041,PRD000038,5,25.35,126.75,True,尺寸不合适
ORD00000041,PRD000046,3,35.95,107.85000000000001,True,质量问题
ORD00000041,PRD000014,4,137.73,550.92,True,尺寸不合适
ORD00000042,PRD000136,4,75.12,300.48,False,不喜欢
ORD00000043,PRD000167,1,130.0,130.0,True,质量问题
ORD00000043,PRD000059,3,483.38,1450.1399999999999,True,质量问题
ORD00000044,PRD000157,3,93.78,281.34000000000003,False,质量问题
ORD00000044,PRD000166,1,61.79,61.79,True,尺寸不合适
ORD00000044,PRD000050,4,131.15,524.6,False,尺寸不合适
ORD00000044,PRD000101,5,6.0,30.0,False,质量问题
ORD00000045,PRD000046,5,35.95,179.75,True,不喜欢
ORD00000045,PRD000052,1,52.45,52.45,False,不喜欢
ORD00000046,PRD000127,4,73.97,295.88,False,质量问题
ORD00000046,PRD000072,3,153.44,460.32,False,质量问题
ORD00000046,PRD000179,5,92.1,460.5,False,不喜欢
ORD00000047,PRD000123,1,33.53,33.53,False,不喜欢
ORD00000047,PRD000126,3,115.7,347.1,True,尺寸不合适
ORD00000047,PRD000117,4,2753.87,11015.48,True,尺寸不合适
ORD00000047,PRD000192,3,108.65,325.95000000000005,False,尺寸不合适
ORD00000048,PRD000158,1,286.26,286.26,True,质量问题
ORD00000048,PRD000166,2,61.79,123.58,False,不喜欢
ORD00000048,PRD000041,3,31.99,95.97,False,质量问题
ORD00000048,PRD000096,1,81.71,81.71,False,尺寸不合适
ORD00000048,PRD000135,2,1324.3,2648.6,False,质量问题
ORD00000049,PRD000077,2,76.19,152.38,True,尺寸不合适
ORD00000049,PRD000170,5,3470.53,17352.65,False,尺寸不合适
ORD00000050,PRD000073,5,69.33,346.65,True,不喜欢
ORD00000051,PRD000052,3,52.45,157.35000000000002,False,质量问题
ORD00000052,PRD000177,2,223.96,447.92,False,不喜欢
ORD00000053,PRD000067,3,50.53,151.59,True,质量问题
ORD00000053,PRD000109,4,920.07,3680.28,True,不喜欢
ORD00000053,PRD000008,5,29.07,145.35,True,尺寸不合适
ORD00000054,PRD000089,2,131.26,262.52,True,不喜欢
ORD00000054,PRD000046,1,35.95,35.95,True,质量问题
ORD00000054,PRD000124,2,76.91,153.82,False,不喜欢
ORD00000054,PRD000173,4,4433.55,17734.2,True,尺寸不合适
ORD00000054,PRD000161,3,124.59,373.77,False,不喜欢
ORD00000055,PRD000131,2,212.0,424.0,True,质量问题
ORD00000055,PRD000057,2,232.45,464.9,False,其他
ORD00000055,PRD000092,4,25.93,103.72,True,尺寸不合适
ORD00000055,PRD000060,1,2837.29,2837.29,False,质量问题
ORD00000056,PRD000061,4,415.92,1663.68,False,尺寸不合适
ORD00000056,PRD000121,4,140.94,563.76,False,不喜欢
ORD00000056,PRD000015,2,1052.2,2104.4,True,质量问题
ORD00000056,PRD000079,5,42.88,214.4,False,尺寸不合适
ORD00000057,PRD000030,4,87.8,351.2,False,尺寸不合适
ORD00000057,PRD000049,4,98.52,394.08,False,尺寸不合适
ORD00000057,PRD000198,2,2366.1,4732.2,False,质量问题
ORD00000057,PRD000198,5,2366.1,11830.5,False,尺寸不合适
ORD00000057,PRD000074,1,168.28,168.28,False,尺寸不合适
ORD00000058,PRD000066,3,1170.97,3512.91,False,质量问题
ORD00000058,PRD000022,5,150.94,754.7,True,尺寸不合适
ORD00000058,PRD000118,4,3902.48,15609.92,False,尺寸不合适
ORD00000058,PRD000020,4,104.7,418.8,False,不喜欢
ORD00000058,PRD000059,5,483.38,2416.9,False,尺寸不合适
ORD00000059,PRD000181,5,117.31,586.55,False,质量问题
ORD00000059,PRD000090,1,2271.49,2271.49,False,质量问题
ORD00000059,PRD000022,2,150.94,301.88,False,不喜欢
ORD00000059,PRD000162,3,149.44,448.32,True,不喜欢
ORD00000060,PRD000067,2,50.53,101.06,False,质量问题
ORD00000060,PRD000022,2,150.94,301.88,False,尺寸不合适
ORD00000060,PRD000070,2,176.38,352.76,False,尺寸不合适
ORD00000061,PRD000127,3,73.97,221.91,False,质量问题
ORD00000061,PRD000099,2,44.44,88.88,False,尺寸不合适
ORD00000061,PRD000165,1,133.14,133.14,False,不喜欢
ORD00000061,PRD000050,2,131.15,262.3,False,不喜欢
ORD00000061,PRD000164,1,149.61,149.61,False,质量问题
ORD00000062,PRD000145,2,54.19,108.38,True,质量问题
ORD00000062,PRD000040,4,11.49,45.96,True,尺寸不合适
ORD00000062,PRD000125,3,68.29,204.87,False,尺寸不合适
ORD00000062,PRD000069,4,119.35,477.4,False,质量问题
ORD00000062,PRD000033,2,3049.9,6099.8,True,不喜欢
ORD00000063,PRD000105,4,697.61,2790.44,False,其他
ORD00000063,PRD000041,4,31.99,127.96,False,不喜欢
ORD00000063,PRD000133,1,3880.46,3880.46,False,尺寸不合适
ORD00000064,PRD000031,2,139.58,279.16,False,尺寸不合适
ORD00000064,PRD000022,5,150.94,754.7,False,质量问题
ORD00000064,PRD000031,2,139.58,279.16,True,尺寸不合适
ORD00000064,PRD000008,5,29.07,145.35,True,质量问题
ORD00000065,PRD000027,2,48.45,96.9,False,质量问题
ORD00000065,PRD000188,5,429.49,2147.45,False,不喜欢
ORD00000066,PRD000035,3,311.41,934.23,False,不喜欢
ORD00000066,PRD000183,3,64.11,192.32999999999998,False,不喜欢
ORD00000066,PRD000010,5,236.62,1183.1,False,质量问题
ORD00000067,PRD000051,1,278.75,278.75,False,尺寸不合适
ORD00000067,PRD000077,5,76.19,380.95,True,不喜欢
ORD00000068,PRD000166,2,61.79,123.58,False,尺寸不合适
ORD00000068,PRD000192,1,108.65,108.65,True,尺寸不合适
ORD00000068,PRD000157,1,93.78,93.78,False,质量问题
ORD00000068,PRD000057,4,232.45,929.8,False,质量问题
ORD00000068,PRD000028,3,169.83,509.49,False,不喜欢
ORD00000069,PRD000055,1,65.12,65.12,True,尺寸不合适
ORD00000070,PRD000093,2,91.32,182.64,False,尺寸不合适
ORD00000070,PRD000042,3,84.48,253.44,False,尺寸不合适
ORD00000070,PRD000087,3,4708.14,14124.420000000002,False,尺寸不合适
ORD00000071,PRD000019,2,85.61,171.22,False,尺寸不合适
ORD00000071,PRD000171,1,74.82,74.82,False,尺寸不合适
ORD00000071,PRD000158,4,286.26,1145.04,False,不喜欢
ORD00000072,PRD000084,2,94.31,188.62,True,质量问题
ORD00000072,PRD000044,3,44.1,132.3,False,其他
ORD00000073,PRD000075,1,2153.56,2153.56,False,质量问题
ORD00000074,PRD000034,4,266.68,1066.72,False,尺寸不合适
ORD00000074,PRD000077,2,76.19,152.38,False,质量问题
ORD00000074,PRD000120,4,59.83,239.32,False,质量问题
ORD00000075,PRD000143,1,55.16,55.16,False,尺寸不合适
ORD00000075,PRD000140,4,175.78,703.12,False,不喜欢
ORD00000076,PRD000093,2,91.32,182.64,True,质量问题
ORD00000076,PRD000059,4,483.38,1933.52,False,不喜欢
ORD00000076,PRD000056,1,3309.59,3309.59,True,不喜欢
ORD00000077,PRD000091,3,26.02,78.06,False,尺寸不合适
ORD00000077,PRD000117,3,2753.87,8261.61,False,尺寸不合适
ORD00000077,PRD000020,5,104.7,523.5,True,尺寸不合适
ORD00000077,PRD000175,5,40.04,200.2,True,不喜欢
ORD00000077,PRD000062,2,156.35,312.7,False,不喜欢
ORD00000078,PRD000165,4,133.14,532.56,True,尺寸不合适
ORD00000078,PRD000037,4,89.07,356.28,True,不喜欢
ORD00000078,PRD000099,2,44.44,88.88,False,尺寸不合适
ORD00000079,PRD000127,1,73.97,73.97,True,尺寸不合适
ORD00000079,PRD000076,1,65.41,65.41,False,不喜欢
ORD00000079,PRD000118,3,3902.48,11707.44,True,不喜欢
ORD00000080,PRD000023,3,58.3,174.89999999999998,True,不喜欢
ORD00000080,PRD000090,3,2271.49,6814.469999999999,False,尺寸不合适
ORD00000081,PRD000165,4,133.14,532.56,True,不喜欢
ORD00000082,PRD000007,3,224.61,673.83,False,质量问题
ORD00000082,PRD000190,4,49.42,197.68,True,不喜欢
ORD00000082,PRD000085,3,206.31,618.9300000000001,False,尺寸不合适
ORD00000082,PRD000091,5,26.02,130.1,False,质量问题
ORD00000082,PRD000176,2,26.1,52.2,True,尺寸不合适
ORD00000083,PRD000028,1,169.83,169.83,True,不喜欢
ORD00000084,PRD000033,3,3049.9,9149.7,True,尺寸不合适
ORD00000084,PRD000118,2,3902.48,7804.96,True,尺寸不合适
ORD00000084,PRD000195,2,60.01,120.02,True,尺寸不合适
ORD00000084,PRD000102,3,1240.77,3722.31,True,不喜欢
ORD00000084,PRD000019,4,85.61,342.44,True,质量问题
ORD00000085,PRD000036,3,39.09,117.27000000000001,False,不喜欢
ORD00000085,PRD000003,4,194.89,779.56,True,尺寸不合适
ORD00000085,PRD000006,4,44.65,178.6,False,尺寸不合适
ORD00000086,PRD000094,5,10.95,54.75,False,不喜欢
ORD00000086,PRD000115,5,81.24,406.2,False,质量问题
ORD00000086,PRD000172,5,56.68,283.4,False,尺寸不合适
ORD00000086,PRD000066,1,1170.97,1170.97,False,尺寸不合适
ORD00000087,PRD000071,5,2676.1,13380.5,False,尺寸不合适
ORD00000087,PRD000093,5,91.32,456.59999999999997,True,尺寸不合适
ORD00000087,PRD000070,1,176.38,176.38,False,不喜欢
ORD00000087,PRD000039,2,150.35,300.7,False,尺寸不合适
ORD00000087,PRD000081,1,23.57,23.57,False,不喜欢
ORD00000088,PRD000172,3,56.68,170.04,False,不喜欢
ORD00000088,PRD000107,4,66.62,266.48,False,尺寸不合适
ORD00000088,PRD000005,3,386.1,1158.3000000000002,False,尺寸不合适
ORD00000088,PRD000084,2,94.31,188.62,True,不喜欢
ORD00000088,PRD000199,5,179.9,899.5,False,尺寸不合适
ORD00000089,PRD000195,1,60.01,60.01,True,尺寸不合适
ORD00000089,PRD000184,3,116.72,350.15999999999997,True,质量问题
ORD00000089,PRD000047,4,1342.8,5371.2,True,不喜欢
ORD00000090,PRD000088,4,94.31,377.24,False,尺寸不合适
ORD00000091,PRD000081,2,23.57,47.14,True,质量问题
ORD00000091,PRD000162,3,149.44,448.32,False,不喜欢
ORD00000091,PRD000028,4,169.83,679.32,True,尺寸不合适
ORD00000091,PRD000022,1,150.94,150.94,True,质量问题
ORD00000092,PRD000156,1,90.81,90.81,True,尺寸不合适
ORD00000092,PRD000075,2,2153.56,4307.12,True,不喜欢
ORD00000093,PRD000177,4,223.96,895.84,False,质量问题
ORD00000093,PRD000130,4,323.79,1295.16,False,尺寸不合适
ORD00000094,PRD000042,1,84.48,84.48,True,尺寸不合适
ORD00000094,PRD000063,3,166.02,498.06000000000006,True,尺寸不合适
ORD00000094,PRD000018,2,115.8,231.6,True,尺寸不合适
ORD00000094,PRD000077,2,76.19,152.38,True,尺寸不合适
ORD00000095,PRD000020,1,104.7,104.7,True,质量问题
ORD00000095,PRD000053,3,285.0,855.0,True,不喜欢
ORD00000095,PRD000184,4,116.72,466.88,False,质量问题
ORD00000095,PRD000168,4,111.88,447.52,False,尺寸不合适
ORD00000096,PRD000126,5,115.7,578.5,False,质量问题
ORD00000097,PRD000151,2,68.96,137.92,True,质量问题
ORD00000097,PRD000145,4,54.19,216.76,True,质量问题
ORD00000097,PRD000049,3,98.52,295.56,False,尺寸不合适
ORD00000098,PRD000123,4,33.53,134.12,True,质量问题
ORD00000098,PRD000158,1,286.26,286.26,False,质量问题
ORD00000098,PRD000068,4,864.38,3457.52,True,尺寸不合适
ORD00000099,PRD000024,5,85.85,429.25,False,质量问题
ORD00000099,PRD000112,3,103.79,311.37,False,质量问题
ORD00000099,PRD000110,1,311.48,311.48,False,质量问题
ORD00000099,PRD000091,4,26.02,104.08,False,质量问题
ORD00000099,PRD000198,5,2366.1,11830.5,False,质量问题
ORD00000100,PRD000080,4,2304.29,9217.16,False,不喜欢
ORD00000100,PRD000127,1,73.97,73.97,False,不喜欢
ORD00000100,PRD000187,3,32.11,96.33,False,尺寸不合适
ORD00000101,PRD000154,3,15.4,46.2,False,尺寸不合适
ORD00000101,PRD000092,5,25.93,129.65,True,不喜欢
ORD00000101,PRD000064,4,144.21,576.84,False,其他
ORD00000101,PRD000141,4,30.89,123.56,True,尺寸不合适
ORD00000102,PRD000079,5,42.88,214.4,True,不喜欢
ORD00000102,PRD000143,5,55.16,275.79999999999995,False,尺寸不合适
ORD00000102,PRD000139,1,467.89,467.89,True,质量问题
ORD00000102,PRD000041,2,31.99,63.98,True,质量问题
ORD00000102,PRD000152,2,3967.02,7934.04,True,质量问题
ORD00000103,PRD000181,2,117.31,234.62,True,不喜欢
ORD00000103,PRD000128,2,81.32,162.64,False,尺寸不合适
ORD00000103,PRD000008,3,29.07,87.21000000000001,False,尺寸不合适
ORD00000103,PRD000142,5,201.28,1006.4,False,不喜欢
ORD00000103,PRD000195,4,60.01,240.04,True,尺寸不合适
ORD00000104,PRD000171,4,74.82,299.28,True,不喜欢
ORD00000105,PRD000031,5,139.58,697.9000000000001,True,质量问题
ORD00000105,PRD000025,2,45.71,91.42,False,不喜欢
ORD00000105,PRD000052,5,52.45,262.25,True,不喜欢
ORD00000106,PRD000089,5,131.26,656.3,False,尺寸不合适
ORD00000107,PRD000016,3,33.17,99.51,True,不喜欢
ORD00000107,PRD000004,4,43.92,175.68,False,其他
ORD00000108,PRD000050,1,131.15,131.15,True,质量问题
ORD00000108,PRD000008,1,29.07,29.07,False,尺寸不合适
ORD00000109,PRD000067,1,50.53,50.53,False,不喜欢
ORD00000109,PRD000141,4,30.89,123.56,False,其他
ORD00000109,PRD000108,2,135.38,270.76,False,质量问题
ORD00000109,PRD000085,2,206.31,412.62,False,尺寸不合适
ORD00000109,PRD000077,4,76.19,304.76,False,质量问题
ORD00000110,PRD000185,4,427.11,1708.44,False,不喜欢
ORD00000111,PRD000012,4,4791.22,19164.88,False,不喜欢
ORD00000111,PRD000110,3,311.48,934.44,False,尺寸不合适
ORD00000111,PRD000156,5,90.81,454.05,False,尺寸不合适
ORD00000111,PRD000158,2,286.26,572.52,False,质量问题
ORD00000111,PRD000157,2,93.78,187.56,False,质量问题
ORD00000112,PRD000156,4,90.81,363.24,False,不喜欢
ORD00000112,PRD000127,4,73.97,295.88,False,尺寸不合适
ORD00000112,PRD000097,5,74.34,371.70000000000005,False,质量问题
ORD00000112,PRD000021,4,53.83,215.32,True,质量问题
ORD00000113,PRD000031,2,139.58,279.16,False,尺寸不合适
ORD00000113,PRD000076,3,65.41,196.23,True,尺寸不合适
ORD00000114,PRD000066,4,1170.97,4683.88,True,不喜欢
ORD00000115,PRD000130,4,323.79,1295.16,True,质量问题
ORD00000115,PRD000060,1,2837.29,2837.29,False,尺寸不合适
ORD00000115,PRD000050,3,131.15,393.45000000000005,False,质量问题
ORD00000115,PRD000118,1,3902.48,3902.48,False,其他
ORD00000115,PRD000050,3,131.15,393.45000000000005,True,质量问题
ORD00000116,PRD000149,3,18.73,56.19,True,其他
ORD00000116,PRD000046,5,35.95,179.75,True,尺寸不合适
ORD00000116,PRD000177,5,223.96,1119.8,True,不喜欢
ORD00000116,PRD000130,1,323.79,323.79,True,质量问题
ORD00000116,PRD000067,5,50.53,252.65,True,尺寸不合适
ORD00000117,PRD000051,2,278.75,557.5,False,质量问题
ORD00000117,PRD000123,2,33.53,67.06,False,质量问题
ORD00000117,PRD000034,5,266.68,1333.4,False,质量问题
ORD00000117,PRD000003,2,194.89,389.78,False,尺寸不合适
ORD00000117,PRD000189,5,23.62,118.10000000000001,False,其他
ORD00000118,PRD000005,3,386.1,1158.3000000000002,False,尺寸不合适
ORD00000118,PRD000030,3,87.8,263.4,False,质量问题
ORD00000119,PRD000098,4,28.25,113.0,False,质量问题
ORD00000119,PRD000099,5,44.44,222.2,False,尺寸不合适
ORD00000119,PRD000102,5,1240.77,6203.85,False,质量问题
ORD00000119,PRD000080,3,2304.29,6912.87,True,尺寸不合适
ORD00000120,PRD000069,5,119.35,596.75,True,尺寸不合适
ORD00000120,PRD000145,1,54.19,54.19,True,尺寸不合适
ORD00000120,PRD000080,4,2304.29,9217.16,True,尺寸不合适
ORD00000120,PRD000188,5,429.49,2147.45,False,尺寸不合适
ORD00000121,PRD000076,4,65.41,261.64,True,不喜欢
ORD00000121,PRD000086,2,56.88,113.76,False,尺寸不合适
ORD00000122,PRD000049,4,98.52,394.08,False,尺寸不合适
ORD00000122,PRD000047,3,1342.8,4028.3999999999996,False,质量问题
ORD00000122,PRD000049,1,98.52,98.52,False,不喜欢
ORD00000122,PRD000068,3,864.38,2593.14,False,尺寸不合适
ORD00000122,PRD000082,3,83.92,251.76,False,不喜欢
ORD00000123,PRD000144,5,45.58,227.89999999999998,False,其他
ORD00000123,PRD000058,1,56.98,56.98,False,尺寸不合适
ORD00000123,PRD000197,4,4589.2,18356.8,False,尺寸不合适
ORD00000123,PRD000180,2,1616.64,3233.28,False,不喜欢
ORD00000124,PRD000200,3,20.26,60.78,False,质量问题
ORD00000124,PRD000030,4,87.8,351.2,False,质量问题
ORD00000124,PRD000040,3,11.49,34.47,False,质量问题
ORD00000125,PRD000053,3,285.0,855.0,False,尺寸不合适
ORD00000126,PRD000194,5,41.47,207.35,False,尺寸不合适
ORD00000126,PRD000166,4,61.79,247.16,False,尺寸不合适
ORD00000126,PRD000117,3,2753.87,8261.61,False,质量问题
ORD00000127,PRD000177,2,223.96,447.92,False,质量问题
ORD00000127,PRD000014,4,137.73,550.92,False,尺寸不合适
ORD00000127,PRD000047,2,1342.8,2685.6,False,质量问题
ORD00000127,PRD000058,5,56.98,284.9,False,质量问题
ORD00000127,PRD000131,2,212.0,424.0,False,不喜欢
ORD00000128,PRD000128,3,81.32,243.95999999999998,True,质量问题
ORD00000128,PRD000119,5,142.98,714.9,True,尺寸不合适
ORD00000128,PRD000125,2,68.29,136.58,False,尺寸不合适
ORD00000129,PRD000140,4,175.78,703.12,False,尺寸不合适
ORD00000129,PRD000005,3,386.1,1158.3000000000002,True,质量问题
ORD00000129,PRD000159,5,87.69,438.45,True,质量问题
ORD00000129,PRD000074,1,168.28,168.28,False,尺寸不合适
ORD00000130,PRD000199,5,179.9,899.5,False,不喜欢
ORD00000130,PRD000182,2,64.72,129.44,False,尺寸不合适
ORD00000131,PRD000199,3,179.9,539.7,False,质量问题
ORD00000131,PRD000107,1,66.62,66.62,True,质量问题
ORD00000132,PRD000094,1,10.95,10.95,True,不喜欢
ORD00000132,PRD000078,3,2165.45,6496.349999999999,False,不喜欢
ORD00000132,PRD000100,5,17.25,86.25,True,尺寸不合适
ORD00000132,PRD000198,4,2366.1,9464.4,False,质量问题
ORD00000133,PRD000031,3,139.58,418.74,True,尺寸不合适
ORD00000133,PRD000093,2,91.32,182.64,True,不喜欢
ORD00000133,PRD000107,5,66.62,333.1,True,质量问题
ORD00000133,PRD000007,1,224.61,224.61,False,质量问题
ORD00000133,PRD000154,1,15.4,15.4,False,不喜欢
ORD00000134,PRD000078,2,2165.45,4330.9,False,尺寸不合适
ORD00000134,PRD000035,4,311.41,1245.64,False,不喜欢
ORD00000134,PRD000014,2,137.73,275.46,True,尺寸不合适
ORD00000134,PRD000125,4,68.29,273.16,True,尺寸不合适
ORD00000134,PRD000092,1,25.93,25.93,True,尺寸不合适
