商品ID,商品类别,商品名称,品牌,单价,库存量,上架时间,是否促销,供应商,保质期
PRD000150,图书,考试资料28,品牌7,91.04,768,2024-07-02 21:44:35.486001,False,供应商40,
PRD000151,图书,参考书89,品牌1,68.96,927,2023-12-08 21:44:35.486001,True,供应商17,
PRD000152,电子产品,耳机37,品牌7,3967.02,632,2024-06-26 21:44:35.486001,True,供应商30,
PRD000153,图书,教材9,品牌13,105.85,678,2023-12-10 21:44:35.486001,False,供应商7,
PRD000154,学习用品,钢笔84,品牌13,15.4,389,2024-02-25 21:44:35.486001,True,供应商21,
PRD000155,食品,糕点69,品牌3,26.78,512,2024-03-22 21:44:35.486001,True,供应商3,90.0
PRD000156,生活用品,收纳用品43,品牌16,90.81,160,2024-11-02 21:44:35.486001,False,供应商44,
PRD000157,服装,运动服81,品牌10,93.78,513,2024-06-23 21:44:35.486001,True,供应商41,
PRD000158,服装,休闲裤4,品牌18,286.26,230,2024-08-26 21:44:35.486001,False,供应商26,
PRD000159,图书,参考书12,品牌13,87.69,694,2024-01-03 21:44:35.486001,True,供应商27,
PRD000160,电子产品,移动电源20,品牌14,4855.63,931,2024-01-07 21:44:35.486001,False,供应商29,
PRD000161,生活用品,床上用品27,品牌5,124.59,700,2024-07-31 21:44:35.486001,True,供应商20,
PRD000162,图书,考试资料18,品牌14,149.44,999,2024-08-29 21:44:35.486001,True,供应商21,
PRD000163,学习用品,书包69,品牌4,13.29,859,2024-08-29 21:44:35.486001,True,供应商49,
PRD000164,服装,休闲裤53,品牌10,149.61,956,2023-12-21 21:44:35.486001,False,供应商10,
PRD000165,运动器材,羽毛球拍14,品牌5,133.14,780,2024-01-03 21:44:35.486001,False,供应商39,
PRD000166,生活用品,个人护理30,品牌20,61.79,703,2024-10-29 21:44:35.486001,False,供应商6,
PRD000167,图书,杂志18,品牌17,130.0,480,2023-11-13 21:44:35.486001,False,供应商12,
PRD000168,运动器材,瑜伽垫63,品牌16,111.88,197,2024-07-19 21:44:35.486001,True,供应商27,
PRD000169,运动器材,篮球35,品牌14,150.15,687,2024-07-31 21:44:35.486001,True,供应商5,
PRD000170,电子产品,笔记本电脑79,品牌16,3470.53,887,2024-03-22 21:44:35.486001,True,供应商28,
PRD000171,食品,零食78,品牌13,74.82,403,2024-01-03 21:44:35.486001,True,供应商34,30.0
PRD000172,食品,水果6,品牌8,56.68,405,2024-10-22 21:44:35.486001,False,供应商34,30.0
PRD000173,电子产品,平板57,品牌13,4433.55,792,2024-06-18 21:44:35.486001,False,供应商11,
PRD000174,食品,速食79,品牌2,72.1,925,2024-08-31 21:44:35.486001,False,供应商42,365.0
PRD000175,学习用品,书包15,品牌6,40.04,960,2023-11-21 21:44:35.486001,True,供应商26,
PRD000176,食品,速食58,品牌1,26.1,604,2023-11-13 21:44:35.486001,True,供应商30,30.0
PRD000177,服装,运动服89,品牌6,223.96,126,2024-09-26 21:44:35.486001,True,供应商46,
PRD000178,食品,速食11,品牌17,73.66,744,2024-02-24 21:44:35.486001,True,供应商25,999.0
PRD000179,食品,零食99,品牌6,92.1,579,2023-12-10 21:44:35.486001,True,供应商11,90.0
PRD000180,电子产品,耳机54,品牌10,1616.64,787,2024-03-28 21:44:35.486001,False,供应商41,
PRD000181,电子产品,耳机17,品牌7,117.31,783,2024-07-05 21:44:35.486001,True,供应商30,
PRD000182,食品,水果70,品牌1,64.72,505,2024-07-13 21:44:35.486001,True,供应商38,365.0
PRD000183,食品,水果57,品牌3,64.11,6,2024-07-09 21:44:35.486001,False,供应商40,999.0
PRD000184,运动器材,羽毛球拍7,品牌6,116.72,668,2024-05-17 21:44:35.486001,True,供应商10,
PRD000185,运动器材,篮球86,品牌19,427.11,305,2024-05-26 21:44:35.486001,True,供应商4,
PRD000186,学习用品,计算器23,品牌6,35.24,625,2023-12-09 21:44:35.486001,True,供应商30,
PRD000187,图书,考试资料47,品牌2,32.11,306,2024-05-30 21:44:35.486001,False,供应商25,
PRD000188,运动器材,篮球98,品牌14,429.49,66,2024-06-15 21:44:35.486001,False,供应商9,
PRD000189,学习用品,钢笔43,品牌17,23.62,214,2023-11-21 21:44:35.486001,True,供应商40,
PRD000190,学习用品,笔记本74,品牌17,49.42,495,2023-11-25 21:44:35.486001,False,供应商28,
PRD000191,生活用品,收纳用品34,品牌17,123.53,638,2024-05-14 21:44:35.486001,True,供应商40,
PRD000192,生活用品,清洁用品67,品牌16,108.65,184,2024-01-04 21:44:35.486001,True,供应商46,
PRD000193,服装,外套1,品牌4,36.48,640,2024-09-12 21:44:35.486001,True,供应商40,
PRD000194,食品,水果6,品牌11,41.47,825,2023-12-21 21:44:35.486001,True,供应商1,90.0
PRD000195,图书,小说33,品牌3,60.01,518,2024-02-04 21:44:35.486001,False,供应商50,
PRD000196,学习用品,笔记本88,品牌11,20.36,741,2024-01-25 21:44:35.486001,True,供应商12,
PRD000197,电子产品,平板44,品牌16,4589.2,816,2024-10-24 21:44:35.486001,True,供应商31,
PRD000198,电子产品,笔记本电脑69,品牌11,2366.1,833,2024-04-14 21:44:35.486001,True,供应商34,
PRD000199,服装,帽子93,品牌11,179.9,19,2024-07-28 21:44:35.486001,False,供应商23,
PRD000200,学习用品,文具盒36,品牌1,20.26,384,2023-12-27 21:44:35.486001,True,供应商37,
